fichero	bloque	norma	identificador	redaccion	sirve	extra
temas/informacion/06-manual-de-estilo.md	Temario específico · Información y Contenidos · punto 6	Manual de Estilo de RTVE, publicado por la Corporación en `manualdeestilo.rtve.es`. **Ocho capítulos, unas 48.000 palabras**: la razón de ser, la Corporación, TVE, RNE, Medios Interactivos, cuestiones sensibles, el lenguaje y los anexos	Sitio oficial `manualdeestilo.rtve.es`, ocho páginas, una por capítulo	El manual **tal como estaba el 02/09/2026**. Su norma de referencia lingüística es la **Ortografía de la lengua española** en la edición presentada el 16/12/2010	**Información y Contenidos**	Aviso sobre las fuentes=**Las 9 preguntas se verifican en el manual**: es el documento más preguntado del Anexo 2 y el segundo del bloque con el cien por cien. Y llegar a él costó: la primera revisión de las fuentes lo daba por imposible con un 403, y **el 403 no era del servidor** —el programa da la dirección en `http` y sólo pasa `https`—. **Tres de los nueve enunciados salen con las opciones descolocadas en el papel**, sin que cambie la respuesta
temas/informacion/07-directiva-2018-1808.md	Temario específico · Información y Contenidos · punto 7	Directiva (UE) 2018/1808 del Parlamento Europeo y del Consejo, de 14 de noviembre de 2018, por la que se modifica la Directiva 2010/13/UE de servicios de comunicación audiovisual. **Y la propia Directiva 2010/13/UE en su texto consolidado tras esa reforma**, porque la de 2018 es una norma modificativa y lo que se pregunta está en los artículos reformados	CELEX `32018L1808` · CELEX `02010L0013-20181218` · DO L 303 de 28.11.2018	La directiva de 2018 **en su texto publicado** y la de 2010 **consolidada a 18/12/2018**, es decir, **ya modificada** por ella. Leídas el **02/09/2026**	**Información y Contenidos**	Aviso sobre las fuentes=**Las 2 preguntas se verifican en la norma**, pero **hacen falta los dos textos**: la directiva de 2018 dice «el artículo tal se sustituye por el texto siguiente», y lo que el examen pregunta está en la de 2010 tal como queda después. Dos avisos: la respuesta de los **144 minutos** es **el 20 % del bloque calculado**, y **la norma no escribe esa cifra**; y el enunciado del programa fecha la directiva el **28 de noviembre**, que es la del Diario Oficial —**la directiva es de 14 de noviembre**—
temas/informacion/08-resolucion-parlamento-europeo.md	Temario específico · Información y Contenidos · punto 8	Resolución del Parlamento Europeo, de 25 de noviembre de 2020, sobre el refuerzo de la libertad de los medios de comunicación: protección de los periodistas en Europa, discurso del odio, desinformación y papel de las plataformas (2020/2009(INI)). **No es una norma**: es un acto político que fija la posición de la Cámara, publicado en la serie C del Diario Oficial	`P9_TA(2020)0320` · CELEX `52020IP0320` · DO C 425 de 20.10.2021, p. 28	El texto **tal como lo publica el Diario Oficial**, leído el **02/09/2026**	**Información y Contenidos**	Aviso sobre las fuentes=**La única pregunta se verifica en el documento**, y está bien construida: tres de sus opciones copian tres considerandos consecutivos y la cuarta **invierte el sentido de un cuarto**. El documento tiene **doce mil palabras** y el enunciado del programa **es su índice**, así que el tema lo recorre entero. Ojo con las dos fechas: la resolución es de **25/11/2020** y el Diario Oficial que la publica, de **20/10/2021**
temas/informacion/09-informe-unesco.md	Temario específico · Información y Contenidos · punto 9	«Tendencias mundiales en libertad de expresión y desarrollo de los medios: Informe mundial 2021/2022» de la UNESCO. **El informe íntegro no se descarga**, así que el tema se apoya en el **sitio oficial del propio informe en español**, publicado por la misma organización, con sus cuatro capítulos; y en la **página oficial del Día Mundial de la Libertad de Prensa**	Sitio oficial del informe en `unesco.org/reports/world-media-trends/2021/es` · página del Día Mundial de la Libertad de Prensa	Las páginas **tal como estaban el 02/09/2026**. El informe analiza **los cinco años anteriores** a su publicación	**Información y Contenidos**	Aviso sobre las fuentes=**Es el único de los siete documentos del Anexo 2 que no se ha podido descargar**: la biblioteca digital de la UNESCO responde 403 con un desafío de JavaScript, y **se probaron cinco rutas**. De las **5 preguntas**, **3 se atan a documento** —una de ellas **sólo en parte**— y **2 se apoyan en la plantilla**, con el motivo dicho. Y un aviso de nombre: **el informe escribe «Meta» donde la respuesta oficial dice «Facebook»**
temas/informacion/10-carta-etica-fip.md	Temario específico · Información y Contenidos · punto 10	Carta ética mundial para periodistas, adoptada por el **30.º Congreso Mundial de la Federación Internacional de Periodistas** en Túnez el **12 de junio de 2019**. **Completa** —no deroga— la **Declaración de Principios de la FIP sobre la Conducta de los Periodistas de 1954**, la «Declaración de Burdeos»	PDF publicado por la propia Federación en `ifj.org/fileadmin/user_upload/Global_Charter_of_Ethics_SP.pdf`	El texto **tal como lo publica la Federación**, descargado el **02/09/2026**	**Información y Contenidos**	Aviso sobre las fuentes=**Este punto no tiene ni una pregunta en los dos cuadernillos**, como el 5. A cambio, **el documento entero cabe en una página** —dieciséis artículos, un preámbulo y una nota final, unas 850 palabras— y **el tema lo desarrolla entero**. Es también **el punto que más se cruza con los demás**: con el Manual de Estilo en cinco materias y con la Resolución del Parlamento Europeo en dos
temas/gestion-administrativa/01-gestion-administrativa.md	Temario específico · Gestión Administrativa · punto 1	Ley 39/2015, del Procedimiento Administrativo Común, y Ley 16/1985, del Patrimonio Histórico Español	`BOE-A-2015-10565` · BOE núm. 236, de 02/10/2015 — `BOE-A-1985-12534` · BOE núm. 155, de 29/06/1985	Las dos, en su redacción **vigente al 21/12/2022**	**Gestión Administrativa**	Aviso sobre las fuentes=**Es el único punto de esta ocupación que habla de conceptos definidos en una ley y no la cita.** El programa dice «acto administrativo», «registro» y «archivo» sin nombrar la Ley 39/2015, que es la que los define; y «concepto de documento» sin nombrar la Ley 16/1985, que es donde el ordenamiento lo define. **Cinco de sus siete preguntas se contestan con artículo**; las otras dos, con doctrina archivística que ninguna norma escribe, y el tema lo dice
temas/gestion-administrativa/02-contrato-de-trabajo.md	Temario específico · Gestión Administrativa · punto 2	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015, de 23 de octubre)	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**, que ya incorpora la reforma laboral del **RDL 32/2021**: al corte estaban **derogados** el contrato de obra o servicio, el de prácticas y el de formación y aprendizaje	**Gestión Administrativa**	Aviso sobre las fuentes=**Las ocho preguntas tienen artículo**, pero **una respuesta oficial contradice el suyo**: la plantilla da 33 días de indemnización por despido objetivo y el artículo 53.1.b) dice **veinte**, con máximo de doce mensualidades. Los 33 días son del despido **improcedente**, donde el tope son **veinticuatro**. Y **una pregunta se apoya en la costumbre y no en la norma**: los quince días de preaviso al dimitir no están en el Estatuto ni en el III Convenio
temas/gestion-administrativa/03-seguridad-social.md	Temario específico · Gestión Administrativa · punto 3	Texto refundido de la Ley General de la Seguridad Social (RDLeg 8/2015) y Reglamento General de inscripción, afiliación, altas y bajas (RD 84/1996)	`BOE-A-2015-11724` · BOE núm. 261, de 31/10/2015 — `BOE-A-1996-4447` · BOE núm. 50, de 27/02/1996	Las dos, en su redacción **vigente al 21/12/2022**	**Gestión Administrativa**	Aviso sobre las fuentes=**La ley da los conceptos y el reglamento da los plazos**, y el programa no cita ninguna de las dos. La única pregunta que falla es justamente de plazos: la plantilla da **48 horas** para comunicar altas y bajas, y el artículo 32.3 del RD 84/1996 no contempla ese plazo —**el alta va antes de empezar** y **la baja, en tres días naturales**—. Y **los porcentajes del subsidio de incapacidad no están en la ley**: el artículo 171 remite a normas de desarrollo que el temario no cita
temas/gestion-administrativa/04-nominas.md	Temario específico · Gestión Administrativa · punto 4	Estatuto de los Trabajadores (RDLeg 2/2015) y Ley General de la Seguridad Social (RDLeg 8/2015)	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015 — `BOE-A-2015-11724` · BOE núm. 261, de 31/10/2015	Las dos, en su redacción **vigente al 21/12/2022**	**Gestión Administrativa**	Aviso sobre las fuentes=**Una nómina son tres normas y el programa no cita ninguna**: el Estatuto manda en los devengos, la Ley General de la Seguridad Social en las deducciones y la normativa del IRPF en las retenciones. **Siete de las ocho preguntas tienen artículo**; la octava —de qué depende el porcentaje de retención— **se apoya en una norma que no está en el Anexo 2**, y el tema lo dice en vez de ponerle un artículo prestado
temas/gestion-administrativa/05-contabilidad.md	Temario específico · Gestión Administrativa · punto 5	Plan General de Contabilidad, aprobado por el RD 1514/2007, de 16 de noviembre	`BOE-A-2007-19884` · BOE núm. 278, de 20/11/2007	La **vigente al 21/12/2022**, que incorpora la modificación del **RD 1/2021**, publicada el **30 de enero de 2021** —la misma fecha que cita el Anexo 2—	**Gestión Administrativa**	Aviso sobre las fuentes=**Es el punto más preguntado de la ocupación: quince preguntas**, y el único cuyo enunciado da la referencia del BOE y la fecha de la última modificación, las dos exactas. **Catorce respuestas son correctas y una está mal**, y la prueba no hay que buscarla fuera: la plantilla contesta la **misma regla** de tres maneras en las preguntas 17, 68 y 93, y sólo la 17 contradice al Plan
temas/gestion-administrativa/06-matematica-financiera.md	Temario específico · Gestión Administrativa · punto 6	**Ninguna**: la matemática financiera no está en el BOE ni en una norma de un organismo de normalización	—	No procede: las fórmulas no tienen redacción vigente	**Gestión Administrativa**	Aviso sobre las fuentes=**Es el primer tema del proyecto sin fuente que citar, y no por falta de búsqueda**: aquí no se verifica, se demuestra. La garantía que sustituye a la cita es que **todas las operaciones del tema se han recalculado**, incluidas las cinco numéricas del examen, con la cuenta escrita al lado. **Una de ellas no cuadra con su respuesta oficial**: la plantilla da 2.400 € de capital final donde la multiplicación da **4.800 €**
temas/gestion-administrativa/07-probabilidad-y-estadistica.md	Temario específico · Gestión Administrativa · punto 7	**Ninguna**: la estadística descriptiva y el cálculo de probabilidades no se publican en un boletín oficial	—	No procede: las fórmulas no tienen redacción vigente	**Gestión Administrativa**	Aviso sobre las fuentes=**Segundo tema que se demuestra en vez de citarse**, y **el único punto de la ocupación sin una sola incidencia**: las once respuestas oficiales son correctas. Los cinco cálculos del examen —tres medianas, una moda y un rango— están rehechos en el tema con los datos y el procedimiento a la vista
temas/gestion-administrativa/08-ofimatica.md	Temario específico · Gestión Administrativa · punto 8	**Ninguna**: es el único de los cinco puntos de informática que no cita ningún producto, y la terminología técnica no es contenido de una norma	—	No procede	**Gestión Administrativa**	Aviso sobre las fuentes=**Dos preguntas, las dos de la última línea del enunciado**: seguridad informática. Las cinco primeras líneas —hardware, software, almacenamiento, sistemas operativos y dispositivos— **no han caído ni una vez**, y ocupan la mayor parte del tema por la regla del apartado 7 del manual
temas/gestion-administrativa/09-windows-10.md	Temario específico · Gestión Administrativa · punto 9	Documentación de soporte de Microsoft para **Windows 10 Pro, versión 22H2**	`support.microsoft.com/es-es/windows/…dcc61a57` y `learn.microsoft.com/es-es/lifecycle/products/windows-10-home-and-pro`	**Las páginas de hoy, no las de 2022**: Microsoft publica la página viva y no una versión fechada. El tema afirma lo que **no ha cambiado** entre aquella versión y ésta	**Gestión Administrativa**	Aviso sobre las fuentes=**Primer tema del proyecto cuyo objeto de estudio ha quedado obsoleto por la fecha de corte, no su redacción**: Microsoft publica que **Windows 10 llegó al fin de soporte el 14 de octubre de 2025** y que la **22H2 es su versión final**, y la convocatoria congela el temario en el 21/12/2022. **Una sola pregunta**, la del atajo de pegar; el resto del enunciado no ha caído nunca
temas/gestion-administrativa/10-la-red-internet.md	Temario específico · Gestión Administrativa · punto 10	**Ninguna**: es terminología técnica común de redes, no el contenido de una norma ni de un manual de producto	—	No procede	**Gestión Administrativa**	Aviso sobre las fuentes=**Una sola pregunta** —qué aparato hace falta para conectar una red doméstica— y **nueve líneas de enunciado sin preguntar nunca**. El tema las desarrolla igual, y **dice que no cita especificaciones**: lo que afirma es vocabulario de la disciplina, no la cita de un documento
temas/gestion-administrativa/11-office-2019.md	Temario específico · Gestión Administrativa · punto 11	Documentación de soporte de Microsoft para **Office Profesional Plus 2019**	`support.microsoft.com/es-es/office/…3cdeb221` y `…9ff81241`	**Las páginas de hoy, no las de 2019**: los dos datos que el examen pregunta —el atajo de reenviar y la función de las listas— no han cambiado, y así se comprueban	**Gestión Administrativa**	Aviso sobre las fuentes=**Es el subpunto más largo del Anexo 2 de esta ocupación —cuatro aplicaciones— y sólo tiene dos preguntas**, ninguna de Excel ni de PowerPoint. Una de ellas se apoya en una trampa que conviene saber: en casi todas las aplicaciones **Ctrl + F** abre la búsqueda; **en Outlook reenvía**
temas/gestion-administrativa/12-microsoft-teams.md	Temario específico · Gestión Administrativa · punto 12	Documentación de Microsoft sobre canales de Teams	`learn.microsoft.com/es-es/microsoftteams/private-channels`	Página viva, descargada el 02/09/2026	**Gestión Administrativa**	Aviso sobre las fuentes=**La versión que el programa cita, la 1.6.00.376, no tiene documentación propia**: Microsoft documenta Teams como servicio, no compilación a compilación. El tema **no promete describir esa versión**; describe lo documentado y avisa de qué es configurable por cada organización. **Una sola pregunta**, la de los permisos del canal privado, cuya respuesta es correcta con un matiz: quien añade gente es el propietario **del canal**, no necesariamente el del equipo
temas/gestion/01-estatuto-de-los-trabajadores.md	Temario específico · Gestión · punto 1	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015, de 23 de octubre)	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**, que **coincide con la «última actualización publicada el 8/9/2022»** que cita el propio Anexo 2: aquí la fecha del programa y la de corte señalan el mismo texto	**Gestión**	Aviso sobre las fuentes=**Este punto no describe una materia: nombra una ley entera**, y los puntos 2 a 8 son capítulos suyos. Por eso el tema hace de mapa y **desarrolla lo que ningún otro punto recorre**: el Título II, de representación colectiva, y el IV, de infracciones y sanciones. **No tiene ni una pregunta de examen**, y son materia examinable
temas/gestion/02-trabajo-por-cuenta-ajena.md	Temario específico · Gestión · punto 2	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015)	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Ninguna pregunta del examen cae en este punto**, y es materia examinable: la delimitación del trabajo por cuenta ajena es lo primero que se pregunta en esta familia de oposiciones, y **la cesión ilegal del artículo 43 es material de test de manual**, con cuatro supuestos alternativos y doble consecuencia. Lo que no tiene artículo —el falso autónomo, el deslinde de las becas— va dicho como doctrina
temas/gestion/03-convenios-colectivos.md	Temario específico · Gestión · punto 3	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015), Título III	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Dos preguntas y las dos literales del artículo**, y las dos se fallan por contestar con lo razonable en vez de con el precepto: un convenio **no entra en vigor al publicarse** sino cuando las partes acuerden, y el que sucede a otro **lo deroga entero** salvo lo que expresamente se mantenga
temas/gestion/04-contrato-de-trabajo.md	Temario específico · Gestión · punto 4	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015)	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**, que ya incorpora la reforma del **RDL 32/2021**: al corte están derogados el contrato de obra o servicio, el de prácticas y el de formación y aprendizaje	**Gestión**	Aviso sobre las fuentes=**Nueve preguntas: el punto más preguntado del bloque de derecho del trabajo**, y las nueve respuestas oficiales son correctas. Ojo a dos cifras que el examen manipula: el pacto de horas complementarias exige **diez** horas semanales, no quince; y el eventual por circunstancias de la producción dura **seis meses**, ampliables a un año por convenio sectorial
temas/gestion/05-modificacion-de-condiciones.md	Temario específico · Gestión · punto 5	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015), artículos 39 a 41	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Cuatro preguntas, todas correctas, y tres se contestan por exclusión dentro de una enumeración**: qué letra falta en el artículo 41.3 —la **e)**, sistema de trabajo y rendimiento, que **no da derecho a rescindir con indemnización**—, qué materia está en el 41.1 y qué condiciones exige el 39.2
temas/gestion/06-tiempo-de-trabajo.md	Temario específico · Gestión · punto 6	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015), artículos 34 a 38	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Dos preguntas, las dos del artículo 34 y las dos literales.** El resto del enunciado —distribución irregular, descansos, fiestas, horas extraordinarias, vacaciones y conciliación— **no ha caído nunca**, y es la parte con más cifras del tema
temas/gestion/07-el-salario.md	Temario específico · Gestión · punto 7	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015), artículos 26, 27, 29 y 32	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Seis preguntas y las seis respuestas oficiales son correctas.** Cinco se contestan citando artículo; la sexta se apoya en **la escala de embargo de la Ley de Enjuiciamiento Civil**, que el Anexo 2 no cita y que este tema no finge citar: se resuelve con el artículo 27.2, que declara **inembargable el salario mínimo** y del que se deduce que sólo se embarga sobre el exceso
temas/gestion/08-derechos-y-deberes.md	Temario específico · Gestión · punto 8	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015), artículos 4, 5, 18, 20 y 58 a 60	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Una sola pregunta, y su enunciado está roto**: pregunta por la prescripción de las faltas muy graves y sus opciones hablan de la publicación en el BOE. **Ninguna de las cuatro responde**: el artículo 60.2 dice **sesenta días** desde que la empresa lo conoce y **seis meses** desde que se cometió, y el III Convenio dice lo mismo. Los veinte días de la respuesta oficial son el plazo de las **graves**
temas/gestion/09-proteccion-de-datos.md	Temario específico · Gestión · punto 9	Ley Orgánica 3/2018, de Protección de Datos Personales y garantía de los derechos digitales, y **Ley Orgánica 7/2021**, que el examen pregunta y el Anexo 2 no cita	`BOE-A-2018-16673` · BOE núm. 294, de 06/12/2018 — `BOE-A-2021-8806` · BOE núm. 126, de 27/05/2021	Las dos, en su redacción **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Dos de las seis preguntas van de una ley que el programa no incluye**: la LO 7/2021, de datos tratados con fines penales, que transpone otra directiva y tiene su propio régimen sancionador. Las respuestas son correctas y verificables, pero **quien haya estudiado sólo lo que el temario manda no podía saberlas**. El tema estudia las dos leyes y lo dice
temas/gestion/10-el-presupuesto.md	Temario específico · Gestión · punto 10	Ley 47/2003, de 26 de noviembre, General Presupuestaria	`BOE-A-2003-21614` · BOE núm. 284, de 27/11/2003	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**El punto no cita norma y se usa la Ley General Presupuestaria**, que es la que define el Presupuesto en España. **Las tres técnicas que el enunciado nombra —clásico, por programas y base cero— no están en ninguna norma**: son doctrina de la hacienda pública, y el tema las expone como tales. **Ninguna pregunta cae aquí.** Y ojo al régimen de la casa: RTVE, sociedad mercantil estatal, tiene **presupuesto estimativo**, no limitativo
temas/gestion/11-modelo-contable.md	Temario específico · Gestión · punto 11	Real Decreto 1514/2007, de 16 de noviembre, Plan General de Contabilidad	`BOE-A-2007-19884` · BOE núm. 278, de 20/11/2007	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Sus 3 preguntas tienen respaldo en el Plan.** El punto abre el bloque contable del temario —los puntos 11 a 16 comparten norma— y es el que fija el vocabulario: principios contables, marco conceptual y estructura del Plan en cinco partes, de las que **sólo las tres primeras son obligatorias**
temas/gestion/12-proceso-contable.md	Temario específico · Gestión · punto 12	Real Decreto 1514/2007, de 16 de noviembre, Plan General de Contabilidad, y Código de Comercio	`BOE-A-2007-19884` — `BOE-A-1885-6627`	Los dos, en su redacción **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**El Plan da el método y el Código de Comercio da los libros obligatorios**, que son sólo dos: **el de Inventarios y Cuentas anuales y el Diario**. Sus 2 preguntas se contestan con el ciclo contable, que el tema recorre entero, del asiento de apertura al de cierre
temas/gestion/13-el-patrimonio.md	Temario específico · Gestión · punto 13	Real Decreto 1514/2007, de 16 de noviembre, Plan General de Contabilidad	`BOE-A-2007-19884` · BOE núm. 278, de 20/11/2007	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Sus 4 preguntas son de masas patrimoniales y de la ecuación fundamental.** El tema desarrolla el balance con el modelo normal del Plan y separa **activo, pasivo y patrimonio neto** con las definiciones del Marco Conceptual, que es donde están y donde casi nadie las busca
temas/gestion/14-gastos-ingresos-tesoreria.md	Temario específico · Gestión · punto 14	Real Decreto 1514/2007, de 16 de noviembre, Plan General de Contabilidad	`BOE-A-2007-19884` · BOE núm. 278, de 20/11/2007	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Es el punto que más cuentas concretas exige**, y sus 2 preguntas van justo de eso. El tema recorre los grupos 6 y 7 y los subgrupos de existencias, acreedores y tesorería con el nombre exacto de cada cuenta, porque el examen pregunta por nombres de cuenta y no por conceptos
temas/gestion/15-inmovilizado-material.md	Temario específico · Gestión · punto 15	Real Decreto 1514/2007, de 16 de noviembre, Plan General de Contabilidad	`BOE-A-2007-19884` · BOE núm. 278, de 20/11/2007	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Una sola pregunta, y de la definición de amortización.** Todo lo demás que el enunciado enumera —valoración inicial, valor razonable, coste actualizado, deterioro, retiro y venta— no ha caído nunca, y es donde están las reglas que se fallan en la práctica: la comparación con el **valor contable** al vender, la **irreversibilidad** de la amortización frente a la reversibilidad del deterioro y la **no amortización de los terrenos**
temas/gestion/16-inmovilizado-intangible.md	Temario específico · Gestión · punto 16	Real Decreto 1514/2007, de 16 de noviembre, Plan General de Contabilidad	`BOE-A-2007-19884` · BOE núm. 278, de 20/11/2007	La **vigente al 21/12/2022**, con las normas 5.ª y 6.ª en su redacción **desde el 18/12/2016**	**Gestión**	Aviso sobre las fuentes=**Ninguna pregunta cae aquí**, y se desarrolla igual. El enunciado dice «inmaterial» y el Plan dice **intangible**: es el mismo activo con el nombre de antes y el de después de 2007. Y ojo a la reforma de 2016, que suprimió los intangibles de **vida útil indefinida**: hoy se amortizan todos, fondo de comercio incluido
temas/gestion/17-costes-de-produccion.md	Temario específico · Gestión · punto 17	Real Decreto 1514/2007, de 16 de noviembre, Plan General de Contabilidad	`BOE-A-2007-19884` · BOE núm. 278, de 20/11/2007	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**La contabilidad de costes no está regulada en España**: es interna, voluntaria y sin formato obligatorio. Lo único que el Plan impone es el **resultado** al que tiene que llegar cuando se usa para valorar existencias, y esa frase se cita literal. Todo lo demás va como doctrina y el tema lo dice. **Sus 4 respuestas oficiales son correctas**
temas/gestion/18-tesoreria.md	Temario específico · Gestión · punto 18	Real Decreto 1514/2007, Plan General de Contabilidad, y Código de Comercio	`BOE-A-2007-19884` — `BOE-A-1885-6627`	Los dos, en su redacción **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Es el punto con más contenido por pregunta de todo el temario**: sólo 2 preguntas para libro de caja, arqueo, conciliación, efectos descontados y presupuesto de tesorería. **Los libros de tesorería no son obligatorios**: el artículo 25 del Código de Comercio sólo exige el de Inventarios y Cuentas anuales y el Diario
temas/gestion/19-informacion-financiera.md	Temario específico · Gestión · punto 19	Real Decreto 1514/2007, Plan General de Contabilidad, y Código de Comercio	`BOE-A-2007-19884` — `BOE-A-1885-6627`	Los dos, en su redacción **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Aquí está la errata de plantilla del bloque contable.** La pregunta 32 pide el indicador que **ignora** los intereses y la respuesta oficial, el **BAI**, es el único de los cuatro que **sí los computa**: el propio modelo de cuenta de pérdidas y ganancias lo define como **A.1 + A.2**, y A.2 es el resultado financiero. La respuesta que hay que marcar es el **EBITDA**. Las otras tres preguntas son correctas
temas/gestion/20-iva.md	Temario específico · Gestión · punto 20	Ley 37/1992, de 28 de diciembre, del Impuesto sobre el Valor Añadido, y Plan General de Contabilidad	`BOE-A-1992-28740` · BOE núm. 312, de 29/12/1992 — `BOE-A-2007-19884`	Las dos, **vigentes al 21/12/2022**; la del IVA incorpora la **modificación de 20/12/2022** que el propio enunciado exige	**Gestión**	Aviso sobre las fuentes=**Es el punto mejor construido del temario, con el 24.** Sus **3 preguntas se contestan con cita literal** y las tres respuestas oficiales son correctas. Y es uno de los dos puntos de todo el proyecto que **se pone fecha a sí mismo**: el enunciado acota la ley «hasta la modificación de 20 de diciembre de 2022 incluida», un día antes del corte del proyecto
temas/gestion/21-planificacion-y-control.md	Temario específico · Gestión · punto 21	**Sin norma.** Doctrina de dirección de empresas y control de gestión	—	No procede: **no hay norma que fechar**	**Gestión**	Aviso sobre las fuentes=**Este punto no descansa en ninguna norma y el tema lo declara de entrada**, en vez de prestarle artículos que no le corresponden. Su **única pregunta se contesta leyendo el enunciado del propio punto**: tres de sus cuatro opciones son, literalmente, tres de los epígrafes que el Anexo 2 enumera
temas/gestion/22-seguridad-social.md	Temario específico · Gestión · punto 22	Texto refundido de la Ley General de la Seguridad Social (RDLeg 8/2015, de 30 de octubre)	`BOE-A-2015-11724` · BOE núm. 261, de 31/10/2015	La **vigente al 21/12/2022**, que incorpora la **última actualización publicada el 26/11/2022** que el enunciado exige	**Gestión**	Aviso sobre las fuentes=**Es el único punto de todo el proyecto que acota su articulado**: Título I, **artículos 1 a 20**, y Título II, **capítulos I a XVII**. Lo que quede fuera —el capítulo XVIII y siguientes, los autónomos, el desempleo— *no es materia*, y el tema lo dice para que nadie lo busque aquí. Su única pregunta es literal del **artículo 197**
temas/gestion/23-retribucion-de-recursos-humanos.md	Temario específico · Gestión · punto 23	Texto refundido de la Ley del Estatuto de los Trabajadores (RDLeg 2/2015, de 23 de octubre)	`BOE-A-2015-11430` · BOE núm. 255, de 24/10/2015	La **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Ninguna pregunta cae aquí**, y sin embargo **nueve de las 81 del examen se contestan con material que también está en este punto**: las percepciones salariales y no salariales son las preguntas 11 y 35 del punto 24, las teorías de la motivación son las del punto 25 y la evaluación del desempeño es la del 26. El tema separa lo que el Estatuto impone de lo que es diseño retributivo
temas/gestion/24-nomina.md	Temario específico · Gestión · punto 24	Estatuto de los Trabajadores, Ley General de la Seguridad Social, Ley 22/2021 de Presupuestos para 2022 y Reglamento del IRPF	`BOE-A-2015-11430` — `BOE-A-2015-11724` — `BOE-A-2021-21653` — `BOE-A-2007-6820`	Las cuatro, en su redacción **vigente al 21/12/2022**	**Gestión**	Aviso sobre las fuentes=**Es el punto con más preguntas del temario: 7 de 81, y las 7 respuestas oficiales son correctas.** Una nómina son cuatro normas y **el enunciado no cita ninguna**. Dos de ellas —la Ley de Presupuestos y el Reglamento del IRPF— **no aparecen en ningún punto del Anexo 2** y sin embargo el examen preguntó por las dos: la 42 sale de la primera y la 17 de la segunda
temas/gestion/25-la-empresa-como-organizacion.md	Temario específico · Gestión · punto 25	**Sin norma.** Teoría de la organización y psicología del trabajo	—	No procede: **no hay norma que fechar**	**Gestión**	Aviso sobre las fuentes=**Segundo punto con más preguntas: 6 de 81, y las 6 respuestas oficiales son correctas.** Sus preguntas citan por su nombre a **cuatro autores** —Mintzberg dos veces, Herzberg, Maslow y McClelland—, así que aquí se estudian modelos con autor, no artículos. El tema atribuye cada modelo a quien lo formuló
temas/gestion/26-gestion-por-competencias.md	Temario específico · Gestión · punto 26	**Sin norma.** Doctrina de dirección de personas	—	No procede: **no hay norma que fechar**	**Gestión**	Aviso sobre las fuentes=**Sus 2 preguntas son de la última parte del enunciado**, evaluación del desempeño y modelo 360º, y las dos respuestas oficiales son correctas. La mejor de las dos se contesta sabiendo qué **no** es un instrumento de evaluación: la **desensibilización sistemática** es una técnica de terapia para las fobias y no mide nada
